Mass,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24
214.0509705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308564,0,0,0,0,0,0
214.0721005,0,7155265,3721664,0,0,4678930,0,0,3701525,0,2158279,0,0,0,0,9880858,7094837,0,0,0,5238455,0,6959248,5849178
214.1085028,2407095,3092151,3614748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.123745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892100,0,0,0,0,0,0
214.9630861,0,0,0,0,0,0,0,0,7438694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.0019628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8202458,9744386,3039948,7626473,0,4267183,0,0,6821538
215.0197169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146461,0,0,0,0
215.0349731,0,0,2106866,0,0,0,0,0,2271169,0,0,0,0,0,0,0,0,2536178,0,1908550,0,0,0,0
215.0383526,0,5186320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233197,5896248,0,0,0,0,3244523
215.0561029,15476172,18862147,10159374,8887421,23020515,59188191,31317313,48252212,63025544,21470385,31758669,0,24753628,40740106,3243247,35966140,23791557,9698238,29381257,18409740,28598975,17560752,22747472,18354821
215.071357,1947195,2835030,5164589,0,0,0,0,0,0,1862547,0,0,0,0,2066266,4243560,0,0,0,2811723,0,2341086,0,0
215.0924884,18919698,32070280,25766184,4409998,7736817,13396640,6698574,15848641,36305990,4271533,16589195,0,9457146,75822263,1873137,78735656,53172841,15080992,27872886,31741105,23588557,25835630,28262470,28274939
215.1077373,0,0,5178774,0,0,0,0,0,0,0,0,0,0,0,0,5031655,0,0,0,0,0,2347569,2271916,0
215.1189922,0,0,0,0,1955643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.1288739,1978408,5253188,5458652,3116725,0,1846277,0,3091465,6637077,0,2378042,0,0,21957845,0,8107421,13277689,2157029,2804761,4167742,2651476,4728653,3136777,0
215.9430674,0,0,0,0,2657764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.9873003,0,0,0,0,0,0,0,0,0,0,0,1965372,0,0,0,0,0,0,0,0,0,0,0,0
215.997219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615686,0,0,0,0,0,0,0,0
216.0335811,2278186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086108,0,0,2525063,0
216.0448249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073808,0
216.0877422,0,0,0,0,0,0,0,0,1941812,0,0,0,0,0,0,0,0,0,0,0,2059430,0,0,2272470
216.1142267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865299,0,0
216.1241199,0,0,0,0,0,0,0,0,0,0,0,0,0,14623444,0,0,0,0,0,0,0,0,0,0
216.9634513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897500,0,0,0,0,0,0
216.9924577,0,0,0,0,0,0,0,0,1830252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216.999861,0,2087538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892783,0,0,0,0,0,0
217.0176149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5754667,0,4997878,0,3361803,4872208,3950671,0
217.0353691,0,0,0,0,0,0,0,2027357,0,0,0,0,0,0,0,0,0,0,1835298,0,0,0,0,0
217.0506253,2786599,6724853,7548508,0,2901755,0,0,0,2397161,0,0,0,5779616,0,0,5517758,5106356,3181748,2783028,3478710,3487494,3369329,4642657,3510355
217.0540095,0,9320517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2901354,0,4860042,0
217.071752,5581147,7390418,4345580,2576668,3333372,12055367,5206146,7721910,14329237,6163172,5766140,0,0,12206576,0,18327260,10403400,2967012,8515595,3584651,7064773,6117912,10321806,10067741
217.0870097,2771078,9391944,11428891,2836631,0,0,0,0,2172172,2478692,3866723,0,6528543,0,2429833,9910515,8261786,3473659,0,1970391,2857668,4664802,6519667,5655134
217.0903993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935021,0,0,0,0,0,0
